# Equatorial spherical coordinates of masers, their parallaxes,
# proper motions in equatorial coordinates, and LSR velocities
#
# Sample:
#
# Objects from the results of running the optimal model of HMSFRs.
# Commented lines here are outliers found via that model.
#
# Descriptions:
#
#  1 name: Name of the object
#  2 alpha: Right ascension [HMS angle]
#  3 delta: Declination [DMS angle]
#  4 par: Trigonometric parallax [mas]
#  5 par_e: Uncertainty in `par` [mas]
#  6 mu_x: Eastward proper motion (1) [mas/yr]
#  7 mu_x_e: Uncertainty in `mu_x` [mas/yr]
#  8 mu_y: Northward proper motion [mas/yr]
#  9 mu_y_e: Uncertainty in `mu_y` [mas/yr]
# 10 v_lsr: Local Standard of Rest velocity [km/s]
# 11 v_lsr_e: Uncertainty in `v_lsr` [km/s]
# 12 type: Type of the object
# 13 source: Source of the data (2)
# 14 reference: Reference(s)
#
# Notes:
#   1. Motion in RA multiplied by cos(Dec)
#   2. Source is a group label:
#     New = New data (as of June 2022)
#     Reid = Reid et al. (2019)
#     VERA = The first VERA catalogue (2020)
#
name alpha delta par par_e mu_x mu_x_e mu_y mu_y_e v_lsr v_lsr_e type source reference
G023.70-00.19 18:35:12.3610 -08:17:39.530 0.161 0.024 -3.17 0.18 -6.38 0.21 73 5 HMSFR "Reid" "Sanna et al. (2014)"
G024.63-00.32 18:37:22.7091 -07:31:42.093 0.242 0.045 -0.31 0.27 -2.73 0.30 43 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G024.78+00.08 18:36:12.5614 -07:12:10.840 0.150 0.016 -2.62 0.16 -5.08 0.20 111 3 HMSFR "Reid" "L. Moscadelli et al. (in preparation)"
G024.85+00.08 18:36:18.3867 -07:08:50.834 0.176 0.016 -2.42 0.19 -5.23 0.26 111 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G025.70+00.04 18:38:03.1450 -06:24:15.190 0.098 0.029 -2.89 0.11 -6.20 0.36 93 5 HMSFR "Reid" "Sato et al. (2014)"
G027.36-00.16 18:41:51.0570 -05:01:43.443 0.125 0.042 -1.81 0.11 -4.11 0.27 92 3 HMSFR "Reid" "Xu et al. (2011)"
G028.14-00.00 18:42:42.5896 -04:15:35.128 0.158 0.023 -2.11 0.17 -4.85 0.17 100 5 HMSFR "Reid" "K. Immer et al. (in preparation)"
G028.30-00.38 18:44:21.9666 -04:17:39.904 0.221 0.022 -1.62 0.23 -3.97 0.23 87 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G028.39+00.08 18:42:51.9822 -03:59:54.494 0.231 0.015 -1.40 0.24 -3.26 0.24 75 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G028.83-00.25 18:44:51.0865 -03:45:48.378 0.200 0.040 -1.89 0.22 -4.54 0.22 87 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G028.86+00.06 18:43:46.2233 -03:35:29.846 0.201 0.019 -3.19 0.42 -5.72 0.48 100 10 HMSFR "Reid" "K. Immer et al. (in preparation)"
G029.86-00.04 18:45:59.5708 -02:45:06.581 0.221 0.030 -2.33 0.26 -5.47 0.31 101 3 HMSFR "Reid" "Zhang et al. (2014), K. Immer et al. (in preparation)"
G029.95-00.01 18:46:03.7402 -02:39:22.328 0.207 0.019 -2.36 0.20 -5.38 0.20 99 5 HMSFR "Reid" "Zhang et al. (2014), K. Immer et al. (in preparation)"
# G029.98+00.10 18:45:39.9622 -02:34:32.581 0.156 0.010 -0.94 0.32 -3.49 0.32 109 10 HMSFR "Reid" "K. Immer et al. (in preparation)"
# G030.19-00.16 18:47:03.0698 -02:30:36.268 0.212 0.010 -2.08 0.22 -3.80 0.25 108 3 HMSFR "Reid" "J. Li et al. (in preparation)"
# G030.22-00.18 18:47:08.2979 -02:29:29.330 0.284 0.032 -0.87 0.31 -4.70 0.34 113 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G030.41-00.23 18:47:40.7589 -02:20:30.907 0.253 0.021 -1.98 0.28 -4.07 0.29 103 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G030.70-00.06 18:47:36.7983 -02:00:54.341 0.153 0.020 -2.33 0.18 -4.95 0.18 89 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G030.74-00.04 18:47:39.7248 -01:57:24.974 0.326 0.055 -2.38 0.38 -4.46 0.38 88 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G030.78+00.20 18:46:48.0864 -01:48:53.946 0.140 0.032 -1.85 0.16 -3.91 0.19 82 5 HMSFR "Reid" "K. Immer et al. (in preparation)"
# G030.81-00.05 18:47:46.9751 -01:54:26.416 0.321 0.037 -2.34 0.35 -5.66 0.35 105 5 HMSFR "Reid" "K. Immer et al. (in preparation)"
G030.97-00.14 18:48:22.0433 -01:48:30.750 0.294 0.022 -2.14 0.31 -3.82 0.34 77 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G031.24-00.11 18:48:45.0808 -01:33:13.200 0.076 0.014 -2.80 0.19 -5.54 0.19 24 10 HMSFR "Reid" "Y. Wu et al. (2019)"
G031.28+00.06 18:48:12.3760 -01:26:28.778 0.210 0.029 -1.99 0.19 -4.58 0.22 110 5 HMSFR "Reid" "Zhang et al. (2014), J. Li et al. (in preparation)"
G031.41+00.30 18:47:34.3105 -01:12:46.659 0.267 0.029 -1.58 0.70 -5.82 0.70 97 15 HMSFR "Reid" "K. Immer et al. (in preparation)"
G031.58+00.07 18:48:41.6740 -01:09:59.774 0.183 0.032 -1.97 0.40 -4.43 0.40 96 5 HMSFR "Reid" "Zhang et al. (2014)"
G032.04+00.05 18:49:36.5754 -00:45:45.539 0.198 0.015 -2.05 0.21 -4.77 0.21 98 5 HMSFR "Reid" "Sato et al. (2014), K. Immer et al. (in preparation)"
G032.74-00.07 18:51:21.8624 -00:12:06.220 0.126 0.016 -3.15 0.27 -6.10 0.29 37 10 HMSFR "Reid" "Y. Wu et al. (2019)"
G032.79+00.19 18:50:30.7330 -00:01:59.280 0.103 0.031 -2.94 0.24 -6.07 0.25 16 10 HMSFR "Reid" "Zhang et al. (2019)"
G033.09-00.07 18:51:59.4085 +00:06:34.262 0.134 0.016 -2.46 0.15 -5.32 0.15 100 5 HMSFR "Reid" "K. Immer et al. (in preparation)"
G033.39+00.00 18:52:14.6412 +00:24:54.374 0.113 0.029 -2.48 0.13 -5.36 0.13 102 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G033.64-00.22 18:53:32.5630 +00:31:39.100 0.131 0.020 -3.10 0.15 -6.27 0.14 60 3 HMSFR "Reid" "Zhang et al. (2014)"
G034.41+00.23 18:53:18.0319 +01:25:25.500 0.340 0.011 0.12 0.72 -4.18 0.72 60 10 HMSFR "Reid" "B. Hu et al. (in preparation)"
G034.79-01.38 18:59:45.9838 +01:01:18.947 0.381 0.020 -0.31 0.62 -2.80 0.72 45 5 HMSFR "Reid" "K. Rygl et al. (in preparation)"
G035.02+00.34 18:54:00.6576 +02:01:19.217 0.430 0.040 -0.92 0.90 -3.61 0.90 52 5 HMSFR "Reid" "Wu et al. (2014)"
G035.19-00.74 18:58:13.0517 +01:40:35.674 0.456 0.045 -0.18 0.50 -3.63 0.50 30 7 HMSFR "Reid" "Zhang et al. (2009)"
G035.20-01.73 19:01:45.5420 +01:13:32.690 0.412 0.014 -0.68 0.44 -3.60 0.44 43 5 HMSFR "Reid" "Zhang et al. (2009), K. Rygl et al. (in preparation)"
G035.79-00.17 18:57:16.8905 +02:27:58.007 0.113 0.013 -2.96 0.12 -6.23 0.14 61 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G036.11+00.55 18:55:16.7927 +03:05:05.392 0.246 0.056 -1.41 0.26 -3.76 0.27 75 5 HMSFR "Reid" "B. Hu et al. (in preparation)"
G037.42+01.51 18:54:14.3481 +04:41:39.647 0.532 0.021 -0.45 0.35 -3.69 0.39 41 3 HMSFR "Reid" "Wu et al. (2014)"
G037.47-00.10 19:00:07.1430 +03:59:52.975 0.088 0.030 -2.63 0.07 -6.19 0.15 58 3 HMSFR "Reid" "Y. Wu et al. (2019)"
G038.03-00.30 19:01:50.4676 +04:24:18.900 0.095 0.022 -3.01 0.06 -6.20 0.11 60 3 HMSFR "Reid" "Y. Wu et al. (2019)"
G038.11-00.22 19:01:44.1513 +04:30:37.400 0.242 0.035 -2.79 0.27 -5.25 0.31 76 5 HMSFR "Reid" "B. Hu et al. (in preparation)"
G040.28-00.21 19:05:41.2146 +06:26:12.698 0.297 0.019 -1.80 0.31 -3.82 0.33 74 5 HMSFR "Reid" "B. Hu et al. (in preparation)"
G040.42+00.70 19:02:39.6192 +06:59:09.052 0.078 0.013 -2.95 0.09 -5.48 0.10 10 5 HMSFR "Reid" "B. Hu et al. (in preparation)"
G040.62-00.13 19:06:01.6288 +06:46:36.140 0.080 0.021 -2.69 0.09 -5.60 0.25 31 3 HMSFR "Reid" "Y. Wu et al. (2019)"
G041.15-00.20 19:07:14.3676 +07:13:18.025 0.125 0.018 -2.79 0.14 -5.85 0.16 60 3 HMSFR "Reid" "Y. Wu et al. (2019)"
G041.22-00.19 19:07:21.3772 +07:17:08.115 0.113 0.022 -2.82 0.13 -5.89 0.16 59 5 HMSFR "Reid" "Y. Wu et al. (2019)"
# G042.03+00.19 19:07:28.1834 +08:10:53.433 0.071 0.012 -2.40 0.09 -5.64 0.11 12 5 HMSFR "Reid" "B. Hu et al. (in preparation)"
G043.03-00.45 19:11:38.9819 +08:46:30.665 0.130 0.019 -3.03 0.15 -6.56 0.20 56 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G043.16+00.01 19:10:13.4100 +09:06:12.800 0.090 0.007 -2.88 0.20 -5.41 0.20 10 5 HMSFR "Reid" "Zhang et al. (2013)"
G043.79-00.12 19:11:53.9868 +09:35:50.325 0.166 0.010 -3.02 0.36 -6.20 0.36 44 10 HMSFR "Reid" "Wu et al. (2014)"
G043.89-00.78 19:14:26.3906 +09:22:36.568 0.134 0.013 -3.11 0.15 -5.35 0.21 52 3 HMSFR "Reid" "Wu et al. (2014), Y. Wu et al. (2019)"
G045.07+00.13 19:13:22.0427 +10:50:53.336 0.129 0.007 -3.21 0.26 -6.11 0.26 59 5 HMSFR "Reid" "Wu et al. (2014)"
G045.45+00.06 19:14:21.2658 +11:09:15.872 0.119 0.017 -2.34 0.38 -6.00 0.54 55 7 HMSFR "Reid" "Wu et al. (2014)"
G045.49+00.12 19:14:11.3553 +11:13:06.370 0.144 0.024 -2.62 0.17 -5.61 0.16 58 3 HMSFR "Reid" "Y. Wu et al. (2019)"
G045.80-00.35 19:16:31.0795 +11:16:11.985 0.137 0.023 -2.52 0.17 -6.08 0.27 64 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G048.60+00.02 19:20:31.1760 +13:55:25.210 0.093 0.005 -2.89 0.13 -5.50 0.13 18 5 HMSFR "Reid" "Zhang et al. (2013)"
G048.99-00.29 19:22:26.1348 +14:06:39.133 0.178 0.017 -2.20 0.48 -5.84 0.63 67 10 HMSFR "Reid" "Nagayama et al. (2014)"
G049.04-01.07 19:25:22.2504 +13:47:19.525 0.164 0.022 -3.23 0.23 -6.42 0.43 38 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G049.19-00.33 19:22:57.7705 +14:16:09.983 0.197 0.008 -3.08 0.40 -5.50 0.40 67 5 HMSFR "Reid" "Wu et al. (2014), Nagayama et al. (2014)"
G049.26+00.31 19:20:44.8571 +14:38:26.864 0.113 0.016 -2.73 0.15 -5.85 0.19 0 5 HMSFR "Reid" "Zhang et al. (2019)"
G049.34+00.41 19:20:32.4472 +14:45:45.390 0.241 0.031 -2.36 0.26 -5.59 0.33 68 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G049.41+00.32 19:20:59.2098 +14:46:49.613 0.132 0.031 -3.15 0.17 -4.49 0.66 -12 5 HMSFR "Reid" "Zhang et al. (2019)"
G049.48-00.36 19:23:39.8240 +14:31:04.950 0.195 0.071 -2.49 0.14 -5.51 0.16 56 3 HMSFR "Reid" "Xu et al. (2009)"
G049.48-00.38 19:23:43.8700 +14:30:29.500 0.185 0.010 -2.64 0.20 -5.11 0.20 58 4 HMSFR "Reid" "Sato et al. (2010)"
G049.59-00.24 19:23:26.6068 +14:40:16.955 0.218 0.009 -2.25 0.24 -6.12 0.25 63 5 HMSFR "Reid" "Y. Wu et al. (2019)"
G052.10+01.04 19:23:37.3212 +17:29:10.437 0.165 0.013 -2.77 1.40 -5.85 1.40 42 40 HMSFR "Reid" "Oh et al. (2010), Y. Wu et al. (2019)"
G054.10-00.08 19:31:48.7978 +18:42:57.096 0.231 0.031 -3.13 0.58 -5.57 0.61 40 5 HMSFR "Reid" "Xu et al. (2016)"
G058.77+00.64 19:38:49.1269 +23:08:40.205 0.299 0.040 -2.70 0.34 -6.10 0.38 33 3 HMSFR "Reid" "Xu et al. (2016)"
G059.47-00.18 19:43:28.3504 +23:20:42.522 0.535 0.024 -1.83 1.22 -6.60 1.21 26 3 HMSFR "Reid" "Xu et al. (2016)"
G059.78+00.06 19:43:11.2464 +23:44:03.270 0.463 0.020 -1.50 0.53 -5.12 0.51 23 5 HMSFR "Reid" "Xu et al. (2009), B. Hu et al. (in preparation)"
G059.83+00.67 19:40:59.2938 +24:04:44.177 0.242 0.014 -2.91 0.26 -6.12 0.26 34 3 HMSFR "Reid" "Xu et al. (2016)"
G060.57-00.18 19:45:52.4949 +24:17:43.237 0.121 0.015 -3.26 0.15 -5.66 0.15 4 5 HMSFR "Reid" "Zhang et al. (2019)"
G069.54-00.97 20:10:09.0700 +31:31:35.950 0.406 0.013 -3.19 0.40 -5.22 0.40 12 5 HMSFR "Reid" "Rygl et al. (2010), Nagayama et al. (2011), Xu et al. (2013)"
G070.18+01.74 20:00:54.4874 +33:31:28.224 0.156 0.016 -2.82 0.16 -5.17 0.19 -23 5 HMSFR "Reid" "Sakai et al. (2019)"
G071.31+00.82 20:07:31.2593 +33:59:41.491 0.213 0.028 -2.62 0.70 -5.65 0.60 9 5 HMSFR "Reid" "Burns et al. (2014)"
G071.52-00.38 20:12:57.8943 +33:30:27.083 0.277 0.026 -2.48 0.29 -4.97 0.30 11 3 HMSFR "Reid" "Xu et al. (2016)"
G073.65+00.19 20:16:21.9320 +35:36:06.094 0.075 0.020 -2.31 0.17 -4.20 0.23 -76 10 HMSFR "Reid" "BeSSeL Survey (Unpublished)"
G074.03-01.71 20:25:07.1053 +34:49:57.593 0.629 0.017 -3.79 1.30 -4.88 1.50 5 5 HMSFR "Reid" "Xu et al. (2013)"
G074.56+00.84 20:16:13.3617 +36:43:33.920 0.367 0.083 -3.00 0.81 -4.37 0.98 -1 5 HMSFR "Reid" "Burns et al. (2014)"
G075.29+01.32 20:16:16.0120 +37:35:45.810 0.108 0.010 -2.37 0.11 -4.48 0.17 -58 5 HMSFR "Reid" "Sanna et al. (2012)"
G075.76+00.33 20:21:41.0860 +37:25:29.280 0.285 0.022 -3.08 0.60 -4.56 0.60 -9 9 HMSFR "Reid" "Xu et al. (2013)"
G075.78+00.34 20:21:44.0120 +37:26:37.480 0.261 0.030 -2.79 0.55 -4.66 0.55 1 5 HMSFR "Reid" "Ando et al. (2011)"
G076.38-00.61 20:27:25.4752 +37:22:48.460 0.770 0.053 -3.73 3.00 -3.84 3.00 -2 5 HMSFR "Reid" "Xu et al. (2013)"
# G078.12+03.63 20:14:26.0700 +41:13:32.690 0.645 0.030 -2.06 0.84 0.98 0.84 -6 5 HMSFR "Reid" "Moscadelli et al. (2011), Nagayama et al. (2015)"
G078.88+00.70 20:29:24.8230 +40:11:19.590 0.300 0.024 -1.20 0.72 -4.80 0.66 -6 7 HMSFR "Reid" "Rygl et al. (2011)"
G079.73+00.99 20:30:50.6730 +41:02:27.540 0.737 0.062 -2.84 0.79 -4.14 1.06 -3 5 HMSFR "Reid" "Rygl et al. (2011)"
G079.87+01.17 20:30:29.1440 +41:15:53.640 0.620 0.027 -3.23 1.30 -5.19 1.30 -5 10 HMSFR "Reid" "Xu et al. (2013)"
G080.79-01.92 20:46:25.5400 +40:06:59.400 0.620 0.047 -1.55 0.57 -4.59 0.57 -3 3 HMSFR "Reid" "Zhang et al. (2012)"
G080.86+00.38 20:37:00.9600 +41:34:55.700 0.687 0.038 -3.29 0.73 -4.83 0.77 -3 5 HMSFR "Reid" "Rygl et al. (2011)"
G081.75+00.59 20:39:01.9930 +42:24:59.290 0.666 0.035 -2.84 0.45 -3.80 0.47 -3 3 HMSFR "Reid" "Rygl et al. (2011)"
G081.87+00.78 20:38:36.4260 +42:37:34.800 0.772 0.042 -1.97 0.50 -4.16 0.51 7 3 HMSFR "Reid" "Rygl et al. (2011)"
G090.21+02.32 21:02:22.7010 +50:03:08.309 1.483 0.038 -0.67 1.56 -0.90 1.67 -3 5 HMSFR "Reid" "Xu et al. (2013)"
G090.92+01.48 21:09:12.9685 +50:01:03.664 0.171 0.031 -2.96 0.20 -2.61 0.28 -70 5 HMSFR "Reid" "BeSSeL Survey (Unpublished)"
G092.67+03.07 21:09:21.7320 +52:22:37.080 0.613 0.020 -0.69 1.42 -2.25 1.42 -5 10 HMSFR "Reid" "Xu et al. (2013)"
G094.60-01.79 21:39:58.2701 +50:14:20.994 0.221 0.013 -3.49 0.23 -2.65 0.23 -43 3 HMSFR "Reid" "Oh et al. (2010), Choi et al. (2014), Sakai et al. (2019)"
